yassirlakhtiri@Yassirs-MacBook-Air orb_platform % python main.py --data data/nq_1m.csv --optimize --iterations 300 --seed 42
[1/300] robustness_score=0.3668 trades=503 params={'entry.or_minutes': 25, 'entry.buffer_points': 0.556655340828402, 'entry.direction': 'short_only', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 50, 'risk.stop_mode': 'or', 'risk.atr_mult_stop': 0.8488448213128598, 'risk.fixed_stop_points': 13.074855285145226, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 1.9762312811225993, 'risk.atr_mult_target': 1.095348038445351, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 0.562365569764324, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 1.622490125877226}
[2/300] robustness_score=0.2049 trades=489 params={'entry.or_minutes': 27, 'entry.buffer_points': 3.249422188897616, 'entry.direction': 'short_only', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 50, 'risk.stop_mode': 'atr', 'risk.atr_mult_stop': 1.973164209689772, 'risk.fixed_stop_points': 34.2829137003348, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 2.3970184178244183, 'risk.atr_mult_target': 1.4789779491306705, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 0.7083006198215902, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 0.9306275242151776}
[3/300] robustness_score=0.8266 trades=727 params={'entry.or_minutes': 29, 'entry.buffer_points': 1.682972725563134, 'entry.direction': 'both', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 20, 'risk.stop_mode': 'atr', 'risk.atr_mult_stop': 2.6187359158686494, 'risk.fixed_stop_points': 28.11178094100673, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 2.324329466734545, 'risk.atr_mult_target': 2.6086842743641023, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 0.3945602376941498, 'risk.trailing_enabled': False, 'risk.trailing_atr_mult': 2.1588093285059897}
[4/300] robustness_score=4.8709 trades=529 params={'entry.or_minutes': 24, 'entry.buffer_points': 4.427258739684034, 'entry.direction': 'long_only', 'entry.ema_filter_enabled': True, 'entry.ema_filter_period': 20, 'risk.stop_mode': 'or', 'risk.atr_mult_stop': 2.1531582964192753, 'risk.fixed_stop_points': 33.19205022366076, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 2.6382943025378673, 'risk.atr_mult_target': 3.599451000265809, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 0.6335683237321106, 'risk.trailing_enabled': False, 'risk.trailing_atr_mult': 0.8253081943121696}
[5/300] robustness_score=1.5227 trades=563 params={'entry.or_minutes': 16, 'entry.buffer_points': 1.0475351538574385, 'entry.direction': 'long_only', 'entry.ema_filter_enabled': True, 'entry.ema_filter_period': 50, 'risk.stop_mode': 'fixed', 'risk.atr_mult_stop': 2.322816994875873, 'risk.fixed_stop_points': 14.902074812857851, 'risk.target_mode': 'atr', 'risk.r_multiple': 1.174869566960695, 'risk.atr_mult_target': 3.7761735388636533, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 1.1215371011878494, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 0.9580961439282087}
[6/300] robustness_score=0.2325 trades=615 params={'entry.or_minutes': 6, 'entry.buffer_points': 4.025229003856071, 'entry.direction': 'long_only', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 20, 'risk.stop_mode': 'or', 'risk.atr_mult_stop': 2.7828403104638624, 'risk.fixed_stop_points': 27.01540154435507, 'risk.target_mode': 'atr', 'risk.r_multiple': 1.0315663601353515, 'risk.atr_mult_target': 2.497693778476832, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 0.4714459085304752, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 0.9932550153879669}
[7/300] robustness_score=0.2876 trades=511 params={'entry.or_minutes': 22, 'entry.buffer_points': 2.694886448336452, 'entry.direction': 'short_only', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 200, 'risk.stop_mode': 'atr', 'risk.atr_mult_stop': 1.0483018978932084, 'risk.fixed_stop_points': 39.926128194853305, 'risk.target_mode': 'atr', 'risk.r_multiple': 0.7272735304344847, 'risk.atr_mult_target': 1.1413491262742037, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 0.4834095832179133, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 2.084158728725928}
[8/300] robustness_score=0.7517 trades=550 params={'entry.or_minutes': 18, 'entry.buffer_points': 2.982045153659869, 'entry.direction': 'long_only', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 200, 'risk.stop_mode': 'fixed', 'risk.atr_mult_stop': 1.128535299954533, 'risk.fixed_stop_points': 26.596776886458624, 'risk.target_mode': 'r_multiple', 'risk.r_multiple': 2.2007085256412964, 'risk.atr_mult_target': 1.34365522895106, 'risk.breakeven_enabled': False, 'risk.breakeven_trigger_r': 1.222318479188935, 'risk.trailing_enabled': False, 'risk.trailing_atr_mult': 0.7231043471917529}
[9/300] robustness_score=0.3749 trades=729 params={'entry.or_minutes': 18, 'entry.buffer_points': 0.7907887717233486, 'entry.direction': 'both', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 50, 'risk.stop_mode': 'fixed', 'risk.atr_mult_stop': 2.781569598362051, 'risk.fixed_stop_points': 36.11555709510301, 'risk.target_mode': 'atr', 'risk.r_multiple': 2.604173370431168, 'risk.atr_mult_target': 2.5229886459329025, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 0.48340712225956173, 'risk.trailing_enabled': True, 'risk.trailing_atr_mult': 1.5787580602392515}
[10/300] robustness_score=0.9491 trades=726 params={'entry.or_minutes': 29, 'entry.buffer_points': 4.6121704030913735, 'entry.direction': 'both', 'entry.ema_filter_enabled': False, 'entry.ema_filter_period': 200, 'risk.stop_mode': 'or', 'risk.atr_mult_stop': 0.7796693133022377, 'risk.fixed_stop_points': 20.889423015428008, 'risk.target_mode': 'atr', 'risk.r_multiple': 1.098630775845147, 'risk.atr_mult_target': 1.7226147773416993, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 0.4027841424814545, 'risk.trailing_enabled': False, 'risk.trailing_atr_mult': 2.132046506840177}
[11/300] robustness_score=6.9673 trades=726 params={'entry.or_minutes': 29, 'entry.buffer_points': 2.6635308476475785, 'entry.direction': 'both', 'entry.ema_filter_enabled': True, 'entry.ema_filter_period': 200, 'risk.stop_mode': 'fixed', 'risk.atr_mult_stop': 0.9128173974353191, 'risk.fixed_stop_points': 25.830213622547618, 'risk.target_mode': 'atr', 'risk.r_multiple': 2.910907265018638, 'risk.atr_mult_target': 3.7867404790065304, 'risk.breakeven_enabled': True, 'risk.breakeven_trigger_r': 1.1555387673829463, 'risk.trailing_enabled': False, 'risk.trailing_atr_mult': 2.4902987133217893}
